model,cv_score,test_f1_macro,test_f1_beta,test_auc,optimal_threshold
logreg_balanced,0.7237861441893599,0.7381920761863292,0.6226175349428208,0.8438296003513396,0.6500000000000001
rf_balanced,0.7345191642989463,0.7372341534767467,0.6339181286549708,0.8379291637603659,0.5000000000000001
xgb_balanced,0.7291541079025571,0.7302534132701899,0.6257242178447276,0.8422227388979308,0.5500000000000002
